Copré,-,11.00,5.80,16.70,8 .20,4 .95,-11.32,1 0.60,3 .24,1 .01,4.44%,-(1),,4.50%,10%,8%,17%
Nest,-3.70,10.70,5.00,9.90,6 .90,2 .60,-9.20,1 0.60,3 .76,1 .80,3.57%,3.65%,,4.29%,18%,12%,26%
Spida,-12.40,5.40,4.00,10.80,7 .10,4 .00,-11.50,1 0.50,4 .50,0 .30,3.42%,1.96%,,3.10%,19%,16%,38%
PK Profaro,-9.30,9.90,5.30,12.60,8 .60,5 .90,-12.20,1 0.20,1 .70,-3.10,3.06%,2.63%,,3.75%,32%,28%,43%
Pictet-Index 25plus,-1.46,8.36,5.64,9.81,4 .51,-0.03,-11.51,1 3.68,4 .86,1 .44,2.97%,3.31%,,,,,25%
PKG,-4.60,6.10,4.00,14.40,8 .30,2 .00,-15.60,1 0.10,4 .20,0 .30,2.97%,2.59%,,2.77%,17%,18%,28%
CoOpera,3.60,3.80,3.70,4.10,2 .60,3 .00,2 .60,3 .40,2 .60,2 .10,2.91%,3.15%,,3.50%,7%,8%,5%
Futura,-0.31,7.58,3.80,8.28,5 .92,3 .26,-8.83,1 0.46,3 .45,-0.93,2.91%,3.13%,,3.10%,22%,22%,27%
Gemini 20 (2),-2.70,6.20,2.80,10.10,6 .20,0 .90,-12.30,1 1.10,3 .80,1 .60,2.79%,2.56%,,4.30%,16%,18%,21%
Abendrot,3.45,4.48,4.03,8.60,7 .63,3 .90,-12.30,1 0.10,2 .40,0 .35,2.70%,3.08%,,3.95%,0%,25%,16%
Swisscanto,-2.70,4.43,4.75,8.17,4 .08,1 .40,-9.00,1 2.40,2 .30,0 .71,2.68%,2.50%,,(4),(4),24%,11%
Transparenta,-,-,4.85,9.08,5 .30,0 .11,-9.83,1 1.11,2 .66,1 .44,2.64%,(1),,4.50%,22%,7%,22%
Pictet-Index 40plus,-7.49,11.68,6.59,14.01,7 .10,-0.34,-20.67,1 7.78,5 .45,-0.94,2.49%,2.72%,,,,,40%
Groupe Mutuel,-0.72,8.75,4.36,9.03,5 .08,1 .06,-8.37,1 0.13,1 .24,0 .40,2.49%,2.96%,,4.17%,23%,23%,30%
UWP,-12.37,7.63,1.80,14.48,8 .39,2 .99,-15.20,1 0.85,2 .44,-3.54,2.48%,1.32%,,3.50%,20%,20%,34%
Vita,-,-,4.06,8.60,3 .89,0 .50,-11.13,1 2.74,4 .54,-0.74,2.38%,(1),,3.80%,17%,16%,34%
ASGA,-2.70,5.74,3.37,10.49,6 .61,2 .32,-12.57,8 .67,2 .30,0 .50,2.36%,2.27%,,2.60%,11%,13%,31%
Profond,-8.30,10.10,4.70,17.10,1 0.80,3 .80,-25.70,1 8.40,4 .41,-4.99,2.33%,2.19%,,4.50%,35%,39%,49%
NoventusCollect K,-,-,7.31,7.31,3 .40,-0.20,-10.69,1 1.08,3 .39,2 .41,2.18%,(1),,2.90%,15%,7%,29%
Grano,-,-,3.10,7.38,5 .20,-0.10,-10.01,1 1.80,1 .70,0 .60,2.16%,(1),,4.27%,20%,21%,30%
PK pro,-,2.20,-0.36,6.16,3 .67,1 .54,-8.49,9 .90,1 .44,-0.94,1.75%,(1),,3.00%,16%,26%,29%
Meta,-13.45,13.10,1.68,8.30,7 .20,-0.61,-35.20,9 .47,6 .10,-8.26,-3.19%,-2.29%,,4.00%,16%,16%,55%
