Copré,-11.32,10.60,3.24,1.01,7.19,4 .78,1 .86,5.49,4.00,2 2
Spida,-11.50,10.50,4.50,0.30,8.20,4 .00,2.09,4.14,2.70,3 9
Nest,-9.20,10.60,3.76,1.80,6.31,3 .91,2 .43,4.68,3.70,3 2
Pictet-Index 25plus,-11.51,13.68,4.86,1.44,8.00,3.59,2.94,4.26,,2 5
PKG,-15.60,10.10,4.20,0.30,7.90,3.57,0 .94,3.87,2.65,2 9
Futura,-8.83,10.46,3.45,-0.93,7.52,3.47,2.10,3.91,3.10,2 8
Pictet-Index 40plus,-20.67,17.78,5.45,-0.94,10.01,3.40,1.43,4.52,,4 0
PK Profaro,-12.20,10.20,1.70,-3.10,5.00,3 .30,0.02,4.14,4.50,4 2
Swisscanto,-9.00,12.40,2.30,0.71,7.54,3 .27,2.53,3.53,(4),1 6
Gemini 20 (2),-12.30,11.10,3.80,1.60,6.65,3 .26,1 .85,3.51,4.30,2 0
Profond,-25.70,18.40,4.41,-4.99,9.74,3 .23,-0.86,4.05,4.50,5 4
Abendrot,-12.30,10.10,2.40,0.35,6.08,3 .12,1.03,3.34,4.50,1 8
Transparenta,-9.83,11.11,2.66,1.44,6.30,3 .09,2.09,(1),4 .50,2 5
Groupe Mutuel,-8.37,10.13,1.24,0.40,7.37,3 .08,1 .95,3.77,4.17,3 2
Vita,-11.13,12.74,4.54,-0.74,8.09,3 .08,2 .36,(1),3 .80,3 6
CoOpera,2.60,3.40,2.60,2.10,3.30,2 .96,2 .80,3.12,3.50,5
ASGA,-12.57,8.67,2.30,0.50,5.80,2 .78,0.66,3.13,4.00,2 4
NoventusCollect K,-10.69,11.08,3.39,2.41,7.35,2 .81,2 .43,(1),2 .90,2 9
PK pro,-8.49,9.90,1.44,-0.94,6.57,2 .34,1.49,2.06,3.60,2 2
Meta,-35.20,9.47,6.10,-8.26,8.93,-1.76,-5.54,-0.02,3.90,4 7
