"Pension_fund","Stocks_2013","TER_2013"
"Copré",22,"0.30"
"Spida",40,"0.29"
"Nest",32,"0.58"
"Profond",54,"0.60"
"PKG",31,"0.22"
"Futura",26,"0.52"
"Groupe Mutuel",33,"0.30"
"Vita",47,"0.85"
"PK Profaro",38,"0.74"
"NoventusCollect K",31,"0.16"
"Swisscanto",32,"0.32"
"Alvoso LLB PK",33,"0.64"
"Abendrot",25,"0.37"
"AXA Group Invest",31,"0.48"
"Transparenta",28,"0.35"
"Gemini Pool 20",21,"0.34"
"ASGA",30,"0.86"
"CoOpera",10,"0.69"
"PK pro",22,"1.13"
"Comunitas",43,"0.34"
"Meta",50,"1.35"
"Phoenix",19,"0.91"
"Swiss Life Business Invest",24,"0.44"
