Nest,1.20,5 .86,5.13,3 .91,31,11,0 .88,2.92,2.51
Copré,2.37,5 .54,4.94,3 .88,27,9,0 .47,3.30,2.15
Spida,0.30,5 .04,4.70,3 .65,35,4,0 .28,2.60,2.10
Ascaro,2.00,4 .79,4.56,3 .48,21,9,0 .40,2.81,2.92
Futura,1.99,5 .02,4.29,3 .47,29,5,0 .64,2.65,1.83
Pictet-Index 25plus,1.21,5 .01,4.87,3 .41,20,5,0.00,ca. 2,
Pictet-Index 40plus,0.98,6 .41,5.60,3 .28,30,10,0.00,ca. 3,
Vita,1.01,5 .25,4.58,3 .18,27,19,0 .89,2.88,2.40
Profond,2.47,6 .97,5.00,3 .03,52,3,0 .27,4.20,3.26
Alvoso LLB PK,1.00,4 .73,4.46,3 .01,25,6,0 .54,3.40,3.20
AXA Group Invest,1.00,4 .70,4.14,2 .99,23,11,0 .58,(4),(4)
NoventusCollect K,0.70,4 .80,4.82,2 .97,32,0,0 .16,2.70,2.00
Groupe Mutuel,-0.02,4 .48,4.22,2 .92,35,8,0 .34,2.77,1.39
PKG,0.90,4 .75,4.46,2 .90,29,3,0 .26,1.83,2.13
Transparenta,1.46,4 .39,4.17,2 .89,30,0,0 .35,3.00,2.00
GEMINI Pool 20,0.67,4 .12,4.12,2 .86,20,0,0 .34,2.21,1.75
Previs,0.79,4 .62,3.72,2 .74,31,8,0 .39,2.96,2.87
Abendrot,1.00,3 .59,3.43,2 .73,24,9,0 .43,3.76,2.57
ASGA,0.61,5 .02,4.25,2 .70,27,16,1 .08,3.05,3.81
PK pro,1.20,4 .67,3.89,2 .66,18,24,1 .37,3.60,1.90
CoOpera,1.00,2 .16,2.38,2 .56,0,7,0 .33,3.00,2.40
Swisscanto,-2.48,2 .45,3.09,2 .51,26,12,0 .38,2.87,2.80
Swiss Life Business Invest,0.28,(1),3 .67,(1),19,6,0 .45,(4),(4)
Phoenix,1.00,(1),(1),(1),25,3,0 .39,2.10,2.50
