"Pension_fund","return_2016","return_2012_2016","Stocks_2016","Alternatives_2016","TER_2016"
"Nest","3.80","5.54",31,13,"0.76"
"Copré","4.49","5.65",28,12,"0.58"
"Spida","5.00","5.66",34,9,"0.32"
"Pictet-Index 25plus","3.37","5.27",,,
"Vita","3.75","5.64",26,20,"0.82"
"Futura","3.38","5.19",33,5,"0.47"
"Ascaro","3.87","5.55",23,7,"0.42"
"NoventusCollect K","4.55","5.26",36,0,"0.24"
"Pictet-Index 40plus","4.16","6.67",,,
"Alvoso LLB PK","2.90","4.75",26,5,"0.56"
"Previs","7.45","5.57",31,8,"0.37"
"AXA Group Invest","3.74","5.04",28,12,"0.63"
"Groupe Mutuel","3.21","4.79",32,0,"0.35"
"Transparenta","2.81","4.45",32,0,"0.35"
"Swisscanto","4.80","3.92",30,14,"0.39"
"PK pro","2.51","4.61",22,24,"1.32"
"GEMINI Pool 20","2.92","4.38",20,0,"0.33"
"PKG","4.49","5.32",31,4,"0.28"
"Abendrot","4.30","4.23",26,6,"0.43"
"Profond","3.66","6.84",51,3,"0.39"
"ASGA","1.51","4.46",27,16,"1.04"
"Prevas","2.50","4.43",30,1,"0.49"
"Swiss Life Business Invest","4.94","4.35",27,8,"0.54"
"Phoenix","1.50","2.73",23,4,"0.88"
"Perspectiva","3.68",,36,1,"0.44"
