"",Aktive,Rentner,TOTAL,Verwaltungs-,Marketing,TOTAL,durchschnittliche,durchschnittliche
"",31.12.2010,31.12.2010 (1),Versicherte,aufwand,und Vertrieb,Verwaltung,Verwaltungskosten,Verwaltungskosten
"",,,31.12.2010,,,2010 2),pro Kopf,pro Kopf
"",,,,,,,inkl. Rentner,ohne Rentner
ASGA,69'727,5 '231,74'958,11'029'573,1'335'148,12'364'721,1 65,177
Profond,28'806,2 '865,31'671,6'767'500,,6'767'500,2 14,235
PKG,23'007,2 '161,25'168,2'156'080,3'493'635,5'649'715,2 24,246
Swisscanto,50'266,5 '209,55'475,13'763'129,1 29'986,13'893'115,2 50,276
Abendrot,8'270,5 18,8'788,2'140'025,77'436,2'217'461,2 52,268
Spida,7'647,1 '067,8'714,2'153'870,134'055,2'287'925,2 63,299
CoOpera,3'580,3 65,3'945,1'052'735,5 2'439,1'105'174,2 80,309
PK Profaro,8 55,1'001,1'856,513'127,4 7'489,560'616,3 02,656
Revor,12'836,1 '607,14'443,4'500'000,3 2'000,4'532'000,3 14,353
Transparenta,3'625,1 81,3'806,1'180'884,2 2'709,1'203'593,3 16,332
Futura,6'235,6 54,6'889,2'451'000,,2'451'000,3 56,393
PK pro,27'510,2 '019,29'529,4'687'504,7'808'135,12'495'639,4 23,454
Nest,11'721,8 35,12'556,3'591'660,1'679'134,5'270'794,4 20,450
NoventusCollect,3'837,247,4'084,1'590'180,216'430,1'806'610,4 42,471
UWP,3'163,220,3'383,1'335'517,278'177,1'613'694,4 77,510
Gemini,16'696,1 '609,18'305,6'723'827,3'688'740,10'412'567,5 69,624
Groupe Mutuel,8 '610,235,8'845,5'127'476,1 08'137,5'235'613,5 92,608
Copré,5 '511,275,5'786,2'326'323,1'495'549,3'821'872,6 61,693
Grano,2'441,1 07,2'548,553'920,1'395'217,1'949'137,7 65,798
Meta,2'293,76,2'369,1'072'062,884'215,1'956'277,8 26,853
