"",Total Versicherte per,Total Versicherte im,Verwaltungsaufwand, Verwaltungskosten, Verwaltungskosten
"",31.12.12,Jahr 2012,2012 insgesamt,auf alle Versicherten,auf alle Versicherten
"",,,,per 31.12.2012,im Jahr 2012
ASGA,82'251,120'307,14'026'165,171,117
Spida,9'637,14'937,2'117'200,220,142
PKG,26'992,38'226,6'226'828,231,163
Abendrot,10'178,13'722,2'669'525,262,195
Swisscanto,55'621,57'923,16'515'211,297,285
Futura,9'722,13'406,3'057'991,315,228
Transparenta,3'805,5'581,1'286'403,338,230
PK pro,39'742,85'924,14'552'932,366,169
Nest,16'180,22'418,6'044'660,374,270
Revor,14'519,15'689,5'587'036,385,356
PK Profaro,1'671,2'319,660'161,395,285
CoOpera,5'219,5'641,2'118'153,406,375
Profond,37'448,55'664,18'672'955,499,335
Copré,6'651,9'811,3'700'913,556,377
NoventusCollect,4'652,7'482,2'376'764,511,318
Gemini,20'164,26'544,10'469'844,519,394
Groupe Mutuel,9'258,15'046,5'677'882,613,377
Meta,2'177,2'415,1'592'413,731,659
