"",∅ Verwaltungskosten,∅ Verwaltungskosten,Veränderung der ∅,Verwaltungsaufwand,Total Versicherte per
"",auf alle Versicherten,auf alle Versicherten,Verwaltungskosten,2014 insgesamt,31.12.2014
"",per 31.12.2014,per 31.12.2013,gegenüber Vorjahr,,
ASGA,176,181,-3%,16'025'453,130'345
Spida,179,202,-12%,1'902'941,10'638
PKG,217,233,-7%,6'688'413,30'756
Comunitas,225,221,2%,3'321'204,14'739
Swisscanto,235,254,-7%,13'295'821,56'579
Ascaro,259,249,4%,998'433,3'855
Abendrot,263,224,18%,3'029'625,11'500
Futura,282,289,-2%,3'148'217,11'161
PK pro,320,345,-7%,17'762'860,55'553
Transparenta,337,343,-2%,1'331'793,3'955
Nest,340,358,-5%,6'496'354,19'134
Revor,343,351,-2%,5'732'514,16'716
Phoenix,358,486,-26%,1'077'550,3'007
CoOpera,385,392,-2%,2'114'644,5'493
Profond,402,443,-9%,15'514'722,38'585
Gemini,452,484,-6%,10'435'664,23'064
PK Profaro,512,378,35%,830'331,1'622
NoventusCollect,515,547,-6%,2'631'038,5'104
Alvoso LLB PK,533,561,-5%,805'477,1'510
Groupe Mutuel,589,605,-3%,6'040'381,10'259
Copré,629,607,4%,5'124'031,8'143
