"",Total aller,Total Versicherte, Verwaltungskosten,Versicherte per, Verwaltungskosten
"",Verwaltungskosten,im ganzen Jahr 2016,auf alle Versicherten,31.12.2016,auf alle Versicherten
"",im 2016*,,während Jahr 2016,,per 31.12.2016
Spida,1'845'931,16'742,110,11'354,163
ASGA,21'044'929,151'031,139,105'517,199
PKG,7'045'140,44'831,157,33'315,211
Swisscanto,13'163'512,78'953,167,57'749,228
Previs,5'273'288,30'882,171,22'520,234
ascaro,914'231,4'201,218,3'567,256
Abendrot,3'362'299,16'983,198,12'663,266
Futura,3'676'221,16'628,221,11'482,320
Nest,6'823'000,30'327,225,21'229,321
PK pro,20'864'452,177'231,118,64'315,324
Transparenta,1'421'800,6'253,227,4'343,327
Prevas,406'235,1'641,248,1'203,338
Profond,16'158'339,56'661,285,41'121,393
GEMINI,9'874'756,29'540,334,24'472,404
Alvoso LLB PK,936'908,2'572,364,1'842,509
NoventusCollect,2'629'823,8'172,322,5'154,510
Groupe Mutuel,5'864'272,13'928,421,10'132,579
Phoenix,2'280'079,5'953,383,3'787,602
Copré,6'848'175,15'238,449,11'104,617
